test,feature,params,nperseg,length,overall,negative,10m,20m,30m,40m
1,spectral,70-9000,512,2,80,99,100,98,69,37
1,spectral,70-9000,512,3,77,99,100,98,62,29
1,spectral,70-9000,512,4,57,100,100,82,13,1
1,spectral,70-9000,512,5,75,100,100,97,62,22
1,spectral,70-9000,512,6,85,100,100,100,85,45
1,spectral,70-9000,1024,2,85,100,100,99,80,49
1,spectral,70-9000,1024,3,64,100,100,89,33,9
1,spectral,70-9000,1024,4,87,100,100,98,80,60
1,spectral,70-9000,1024,5,79,100,100,98,65,39
1,spectral,70-9000,1024,6,65,100,100,90,35,9
1,spectral,70-9000,2048,2,74,99,100,96,60,22
1,spectral,70-9000,2048,3,83,99,100,99,77,42
1,spectral,70-9000,2048,4,74,100,100,96,54,29
1,spectral,70-9000,2048,5,67,100,100,92,40,14
1,spectral,70-9000,2048,6,57,100,100,75,21,0
1,spectral,70-9000,4096,2,74,99,100,96,60,22
1,spectral,70-9000,4096,3,83,99,100,99,77,42
1,spectral,70-9000,4096,4,74,100,100,96,54,29
1,spectral,70-9000,4096,5,67,100,100,92,40,14
1,spectral,70-9000,4096,6,57,100,100,75,21,0
2,spectral,70-9000,512,2,81,99,100,98,71,41
2,spectral,70-9000,512,3,81,99,99,94,73,44
2,spectral,70-9000,512,4,70,100,99,87,39,35
2,spectral,70-9000,512,5,87,100,100,98,83,58
2,spectral,70-9000,512,6,87,100,100,100,85,52
2,spectral,70-9000,1024,2,86,100,100,99,87,46
2,spectral,70-9000,1024,3,81,100,100,91,64,56
2,spectral,70-9000,1024,4,96,100,100,98,95,86
2,spectral,70-9000,1024,5,96,100,100,100,95,83
2,spectral,70-9000,1024,6,78,100,100,98,68,32
2,spectral,70-9000,2048,2,87,99,100,99,85,53
2,spectral,70-9000,2048,3,94,99,100,100,92,78
2,spectral,70-9000,2048,4,90,100,100,96,86,70
2,spectral,70-9000,2048,5,88,100,100,97,77,69
2,spectral,70-9000,2048,6,80,100,100,95,55,55
2,spectral,70-9000,4096,2,76,99,99,88,53,49
2,spectral,70-9000,4096,3,98,93,100,100,100,97
2,spectral,70-9000,4096,4,98,99,100,100,98,90
2,spectral,70-9000,4096,5,100,100,100,100,99,98
2,spectral,70-9000,4096,6,96,100,100,100,98,85
